June 19, 2014   16:35:21
Cyclic Voltammetry
File: c:\documents and settings\nbt\desktop\cv data\lsh\2014\0619\cv010_pre.txt
Data Source:  Experiment
Instrument Model:  CHI627B
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.5
Low E (V) = -0.5
Init P/N = N
Scan Rate (V/s) = 0.01
Segment = 5
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:

Potential/V, Current/A, Charge/C

Segment 1:
-0.197, -5.474e-7, -8.432e-6
-0.198, -5.527e-7, -8.488e-6
-0.199, -5.526e-7, -8.543e-6
-0.200, -5.561e-7, -8.598e-6
-0.201, -5.580e-7, -8.654e-6
-0.202, -5.635e-7, -8.711e-6
-0.203, -5.619e-7, -8.767e-6
-0.204, -5.648e-7, -8.823e-6
-0.205, -5.681e-7, -8.880e-6
-0.206, -5.720e-7, -8.937e-6
-0.207, -5.722e-7, -8.995e-6
-0.208, -5.764e-7, -9.052e-6
-0.209, -5.791e-7, -9.110e-6
-0.210, -5.800e-7, -9.168e-6
-0.211, -5.817e-7, -9.226e-6
-0.212, -5.806e-7, -9.284e-6
-0.213, -5.833e-7, -9.343e-6
-0.214, -5.835e-7, -9.401e-6
-0.215, -5.839e-7, -9.459e-6
-0.216, -5.840e-7, -9.518e-6
-0.217, -5.845e-7, -9.576e-6
-0.218, -5.849e-7, -9.635e-6
-0.219, -5.853e-7, -9.693e-6
-0.220, -5.860e-7, -9.752e-6
-0.221, -5.860e-7, -9.810e-6
-0.222, -5.867e-7, -9.869e-6
-0.223, -5.880e-7, -9.928e-6
-0.224, -5.903e-7, -9.987e-6
-0.225, -5.922e-7, -1.005e-5
-0.226, -5.945e-7, -1.011e-5
-0.227, -5.955e-7, -1.017e-5
-0.228, -6.013e-7, -1.023e-5
-0.229, -6.037e-7, -1.029e-5
-0.230, -6.074e-7, -1.035e-5
-0.231, -6.082e-7, -1.041e-5
-0.232, -6.107e-7, -1.047e-5
-0.233, -6.154e-7, -1.053e-5
-0.234, -6.211e-7, -1.059e-5
-0.235, -6.278e-7, -1.065e-5
-0.236, -6.305e-7, -1.072e-5
-0.237, -6.315e-7, -1.078e-5
-0.238, -6.320e-7, -1.084e-5
-0.239, -6.328e-7, -1.091e-5
-0.240, -6.331e-7, -1.097e-5
-0.241, -6.340e-7, -1.103e-5
-0.242, -6.341e-7, -1.110e-5
-0.243, -6.347e-7, -1.116e-5
-0.244, -6.362e-7, -1.122e-5
-0.245, -6.383e-7, -1.129e-5
-0.246, -6.438e-7, -1.135e-5
-0.247, -6.495e-7, -1.142e-5
-0.248, -6.525e-7, -1.148e-5
-0.249, -6.558e-7, -1.155e-5
-0.250, -6.583e-7, -1.161e-5
-0.251, -6.604e-7, -1.168e-5
-0.252, -6.651e-7, -1.175e-5
-0.253, -6.689e-7, -1.181e-5
-0.254, -6.771e-7, -1.188e-5
-0.255, -6.790e-7, -1.195e-5
-0.256, -6.817e-7, -1.202e-5
-0.257, -6.822e-7, -1.209e-5
-0.258, -6.827e-7, -1.215e-5
-0.259, -6.838e-7, -1.222e-5
-0.260, -6.848e-7, -1.229e-5
-0.261, -6.852e-7, -1.236e-5
-0.262, -6.899e-7, -1.243e-5
-0.263, -6.918e-7, -1.250e-5
-0.264, -6.940e-7, -1.257e-5
-0.265, -7.010e-7, -1.264e-5
-0.266, -7.064e-7, -1.271e-5
-0.267, -7.154e-7, -1.278e-5
-0.268, -7.216e-7, -1.285e-5
-0.269, -7.268e-7, -1.292e-5
-0.270, -7.291e-7, -1.300e-5
-0.271, -7.301e-7, -1.307e-5
-0.272, -7.312e-7, -1.314e-5
-0.273, -7.318e-7, -1.322e-5
-0.274, -7.322e-7, -1.329e-5
-0.275, -7.333e-7, -1.336e-5
-0.276, -7.359e-7, -1.344e-5
-0.277, -7.411e-7, -1.351e-5
-0.278, -7.487e-7, -1.359e-5
-0.279, -7.567e-7, -1.366e-5
-0.280, -7.634e-7, -1.374e-5
-0.281, -7.706e-7, -1.381e-5
-0.282, -7.757e-7, -1.389e-5
-0.283, -7.788e-7, -1.397e-5
-0.284, -7.793e-7, -1.405e-5
-0.285, -7.802e-7, -1.413e-5
-0.286, -7.814e-7, -1.420e-5
-0.287, -7.820e-7, -1.428e-5
-0.288, -7.830e-7, -1.436e-5
-0.289, -7.869e-7, -1.444e-5
-0.290, -7.950e-7, -1.452e-5
-0.291, -8.066e-7, -1.460e-5
-0.292, -8.145e-7, -1.468e-5
-0.293, -8.257e-7, -1.476e-5
-0.294, -8.282e-7, -1.485e-5
-0.295, -8.294e-7, -1.493e-5
-0.296, -8.300e-7, -1.501e-5
-0.297, -8.321e-7, -1.510e-5
-0.298, -8.322e-7, -1.518e-5
-0.299, -8.385e-7, -1.526e-5
-0.300, -8.496e-7, -1.535e-5
-0.301, -8.631e-7, -1.543e-5
-0.302, -8.703e-7, -1.552e-5
-0.303, -8.751e-7, -1.561e-5
-0.304, -8.775e-7, -1.570e-5
-0.305, -8.785e-7, -1.578e-5
-0.306, -8.789e-7, -1.587e-5
-0.307, -8.810e-7, -1.596e-5
-0.308, -8.895e-7, -1.605e-5
-0.309, -8.923e-7, -1.614e-5
-0.310, -9.013e-7, -1.623e-5
-0.311, -9.121e-7, -1.632e-5
-0.312, -9.166e-7, -1.641e-5
-0.313, -9.234e-7, -1.650e-5
-0.314, -9.265e-7, -1.660e-5
-0.315, -9.277e-7, -1.669e-5
-0.316, -9.302e-7, -1.678e-5
-0.317, -9.319e-7, -1.688e-5
-0.318, -9.351e-7, -1.697e-5
-0.319, -9.427e-7, -1.706e-5
-0.320, -9.572e-7, -1.716e-5
-0.321, -9.675e-7, -1.726e-5
-0.322, -9.714e-7, -1.735e-5
-0.323, -9.748e-7, -1.745e-5
-0.324, -9.761e-7, -1.755e-5
-0.325, -9.760e-7, -1.765e-5
-0.326, -9.779e-7, -1.774e-5
-0.327, -9.812e-7, -1.784e-5
-0.328, -9.871e-7, -1.794e-5
-0.329, -9.955e-7, -1.804e-5
-0.330, -1.011e-6, -1.814e-5
-0.331, -1.018e-6, -1.824e-5
-0.332, -1.024e-6, -1.834e-5
-0.333, -1.025e-6, -1.845e-5
-0.334, -1.026e-6, -1.855e-5
-0.335, -1.028e-6, -1.865e-5
-0.336, -1.032e-6, -1.876e-5
-0.337, -1.046e-6, -1.886e-5
-0.338, -1.059e-6, -1.897e-5
-0.339, -1.068e-6, -1.907e-5
-0.340, -1.071e-6, -1.918e-5
-0.341, -1.074e-6, -1.929e-5
-0.342, -1.075e-6, -1.939e-5
-0.343, -1.076e-6, -1.950e-5
-0.344, -1.079e-6, -1.961e-5
-0.345, -1.084e-6, -1.972e-5
-0.346, -1.099e-6, -1.983e-5
-0.347, -1.113e-6, -1.994e-5
-0.348, -1.118e-6, -2.005e-5
-0.349, -1.121e-6, -2.016e-5
-0.350, -1.123e-6, -2.028e-5
-0.351, -1.123e-6, -2.039e-5
-0.352, -1.126e-6, -2.050e-5
-0.353, -1.129e-6, -2.061e-5
-0.354, -1.139e-6, -2.073e-5
-0.355, -1.154e-6, -2.084e-5
-0.356, -1.164e-6, -2.096e-5
-0.357, -1.165e-6, -2.108e-5
-0.358, -1.170e-6, -2.119e-5
-0.359, -1.171e-6, -2.131e-5
-0.360, -1.172e-6, -2.143e-5
-0.361, -1.174e-6, -2.154e-5
-0.362, -1.178e-6, -2.166e-5
-0.363, -1.184e-6, -2.178e-5
-0.364, -1.189e-6, -2.190e-5
-0.365, -1.201e-6, -2.202e-5
-0.366, -1.217e-6, -2.214e-5
-0.367, -1.220e-6, -2.226e-5
-0.368, -1.221e-6, -2.239e-5
-0.369, -1.222e-6, -2.251e-5
-0.370, -1.223e-6, -2.263e-5
-0.371, -1.230e-6, -2.275e-5
-0.372, -1.237e-6, -2.288e-5
-0.373, -1.246e-6, -2.300e-5
-0.374, -1.258e-6, -2.313e-5
-0.375, -1.264e-6, -2.325e-5
-0.376, -1.269e-6, -2.338e-5
-0.377, -1.271e-6, -2.351e-5
-0.378, -1.272e-6, -2.364e-5
-0.379, -1.274e-6, -2.376e-5
-0.380, -1.281e-6, -2.389e-5
-0.381, -1.296e-6, -2.402e-5
-0.382, -1.313e-6, -2.415e-5
-0.383, -1.317e-6, -2.428e-5
-0.384, -1.319e-6, -2.441e-5
-0.385, -1.319e-6, -2.455e-5
-0.386, -1.321e-6, -2.468e-5
-0.387, -1.324e-6, -2.481e-5
-0.388, -1.328e-6, -2.494e-5
-0.389, -1.334e-6, -2.508e-5
-0.390, -1.339e-6, -2.521e-5
-0.391, -1.351e-6, -2.535e-5
-0.392, -1.362e-6, -2.548e-5
-0.393, -1.367e-6, -2.562e-5
-0.394, -1.368e-6, -2.576e-5
-0.395, -1.371e-6, -2.589e-5
-0.396, -1.376e-6, -2.603e-5
-0.397, -1.385e-6, -2.617e-5
-0.398, -1.399e-6, -2.631e-5
-0.399, -1.408e-6, -2.645e-5
-0.400, -1.413e-6, -2.659e-5
-0.401, -1.417e-6, -2.673e-5
-0.402, -1.420e-6, -2.688e-5
-0.403, -1.427e-6, -2.702e-5
-0.404, -1.437e-6, -2.716e-5
-0.405, -1.450e-6, -2.731e-5
-0.406, -1.460e-6, -2.745e-5
-0.407, -1.463e-6, -2.760e-5
-0.408, -1.466e-6, -2.775e-5
-0.409, -1.466e-6, -2.789e-5
-0.410, -1.467e-6, -2.804e-5
-0.411, -1.469e-6, -2.819e-5
-0.412, -1.480e-6, -2.833e-5
-0.413, -1.490e-6, -2.848e-5
-0.414, -1.508e-6, -2.863e-5
-0.415, -1.512e-6, -2.878e-5
-0.416, -1.515e-6, -2.894e-5
-0.417, -1.516e-6, -2.909e-5
-0.418, -1.517e-6, -2.924e-5
-0.419, -1.523e-6, -2.939e-5
-0.420, -1.537e-6, -2.955e-5
-0.421, -1.548e-6, -2.970e-5
-0.422, -1.557e-6, -2.986e-5
-0.423, -1.563e-6, -3.001e-5
-0.424, -1.564e-6, -3.017e-5
-0.425, -1.564e-6, -3.033e-5
-0.426, -1.565e-6, -3.048e-5
-0.427, -1.573e-6, -3.064e-5
-0.428, -1.583e-6, -3.080e-5
-0.429, -1.597e-6, -3.096e-5
-0.430, -1.606e-6, -3.112e-5
-0.431, -1.612e-6, -3.128e-5
-0.432, -1.613e-6, -3.144e-5
-0.433, -1.616e-6, -3.160e-5
-0.434, -1.620e-6, -3.176e-5
-0.435, -1.630e-6, -3.193e-5
-0.436, -1.643e-6, -3.209e-5
-0.437, -1.655e-6, -3.226e-5
-0.438, -1.659e-6, -3.242e-5
-0.439, -1.662e-6, -3.259e-5
-0.440, -1.662e-6, -3.275e-5
-0.441, -1.663e-6, -3.292e-5
-0.442, -1.666e-6, -3.309e-5
-0.443, -1.682e-6, -3.326e-5
-0.444, -1.697e-6, -3.343e-5
-0.445, -1.707e-6, -3.360e-5
-0.446, -1.710e-6, -3.377e-5
-0.447, -1.711e-6, -3.394e-5
-0.448, -1.713e-6, -3.411e-5
-0.449, -1.719e-6, -3.428e-5
-0.450, -1.736e-6, -3.446e-5
-0.451, -1.748e-6, -3.463e-5
-0.452, -1.750e-6, -3.481e-5
-0.453, -1.759e-6, -3.498e-5
-0.454, -1.765e-6, -3.516e-5
-0.455, -1.765e-6, -3.533e-5
-0.456, -1.771e-6, -3.551e-5
-0.457, -1.785e-6, -3.569e-5
-0.458, -1.792e-6, -3.587e-5
-0.459, -1.804e-6, -3.605e-5
-0.460, -1.808e-6, -3.623e-5
-0.461, -1.809e-6, -3.641e-5
-0.462, -1.812e-6, -3.659e-5
-0.463, -1.816e-6, -3.677e-5
-0.464, -1.836e-6, -3.696e-5
-0.465, -1.847e-6, -3.714e-5
-0.466, -1.854e-6, -3.733e-5
-0.467, -1.857e-6, -3.751e-5
-0.468, -1.858e-6, -3.770e-5
-0.469, -1.859e-6, -3.789e-5
-0.470, -1.873e-6, -3.807e-5
-0.471, -1.879e-6, -3.826e-5
-0.472, -1.898e-6, -3.845e-5
-0.473, -1.904e-6, -3.864e-5
-0.474, -1.907e-6, -3.883e-5
-0.475, -1.908e-6, -3.902e-5
-0.476, -1.911e-6, -3.921e-5
-0.477, -1.916e-6, -3.940e-5
-0.478, -1.929e-6, -3.960e-5
-0.479, -1.946e-6, -3.979e-5
-0.480, -1.955e-6, -3.999e-5
-0.481, -1.956e-6, -4.018e-5
-0.482, -1.957e-6, -4.038e-5
-0.483, -1.960e-6, -4.057e-5
-0.484, -1.969e-6, -4.077e-5
-0.485, -1.995e-6, -4.097e-5
-0.486, -2.004e-6, -4.117e-5
-0.487, -2.005e-6, -4.137e-5
-0.488, -2.007e-6, -4.157e-5
-0.489, -2.013e-6, -4.177e-5
-0.490, -2.031e-6, -4.198e-5
-0.491, -2.045e-6, -4.218e-5
-0.492, -2.052e-6, -4.239e-5
-0.493, -2.054e-6, -4.259e-5
-0.494, -2.055e-6, -4.280e-5
-0.495, -2.058e-6, -4.300e-5
-0.496, -2.066e-6, -4.321e-5
-0.497, -2.092e-6, -4.342e-5
-0.498, -2.099e-6, -4.363e-5
-0.499, -2.102e-6, -4.384e-5

Segment 2:
-0.500, -2.070e-6, -4.405e-5
-0.499, -1.839e-6, -4.423e-5
-0.498, -1.629e-6, -4.439e-5
-0.497, -1.486e-6, -4.454e-5
-0.496, -1.382e-6, -4.468e-5
-0.495, -1.309e-6, -4.481e-5
-0.494, -1.256e-6, -4.494e-5
-0.493, -1.211e-6, -4.506e-5
-0.492, -1.171e-6, -4.517e-5
-0.491, -1.133e-6, -4.529e-5
-0.490, -1.119e-6, -4.540e-5
-0.489, -1.083e-6, -4.551e-5
-0.488, -1.073e-6, -4.562e-5
-0.487, -1.042e-6, -4.572e-5
-0.486, -1.027e-6, -4.582e-5
-0.485, -1.021e-6, -4.592e-5
-0.484, -9.954e-7, -4.602e-5
-0.483, -9.775e-7, -4.612e-5
-0.482, -9.718e-7, -4.622e-5
-0.481, -9.523e-7, -4.631e-5
-0.480, -9.319e-7, -4.641e-5
-0.479, -9.271e-7, -4.650e-5
-0.478, -9.188e-7, -4.659e-5
-0.477, -8.907e-7, -4.668e-5
-0.476, -8.798e-7, -4.677e-5
-0.475, -8.782e-7, -4.686e-5
-0.474, -8.723e-7, -4.694e-5
-0.473, -8.531e-7, -4.703e-5
-0.472, -8.344e-7, -4.711e-5
-0.471, -8.295e-7, -4.720e-5
-0.470, -8.245e-7, -4.728e-5
-0.469, -8.062e-7, -4.736e-5
-0.468, -7.868e-7, -4.744e-5
-0.467, -7.815e-7, -4.752e-5
-0.466, -7.796e-7, -4.759e-5
-0.465, -7.730e-7, -4.767e-5
-0.464, -7.562e-7, -4.775e-5
-0.463, -7.405e-7, -4.782e-5
-0.462, -7.334e-7, -4.789e-5
-0.461, -7.308e-7, -4.797e-5
-0.460, -7.265e-7, -4.804e-5
-0.459, -7.091e-7, -4.811e-5
-0.458, -6.904e-7, -4.818e-5
-0.457, -6.846e-7, -4.825e-5
-0.456, -6.827e-7, -4.832e-5
-0.455, -6.815e-7, -4.838e-5
-0.454, -6.777e-7, -4.845e-5
-0.453, -6.598e-7, -4.852e-5
-0.452, -6.439e-7, -4.858e-5
-0.451, -6.353e-7, -4.865e-5
-0.450, -6.336e-7, -4.871e-5
